DATASET,DATASET,DATASET,DATASET,DATASET,RESOURCE,RESOURCE,RESOURCE
Group (Topics),Organization,Tags (comma-separated),Dataset Name,Dataset Description,Resource Name,Resource Description,Resource URL
Data Bancaria,Superintendencia de Bancos,"csv, Centro Bancario Internacional, Estados Financieros, Data Bancaria",Balances de Situación del Centro Bancario Internacional,Incluye los balances de la situación financiera del Centro Bancario Internacional para el cierre de los años entre 2010 y 2016.,Balance de Situación del Centro Bancario Internacional para 2012,"Balance de situación financiera para el Centro Bancario Internacional, a diciembre de 2012.",http://tabulario.s3.amazonaws.com/Data/Superintendencia%20de%20Bancos%20de%20Panam%C3%A1/Estad%C3%ADstica/Balance%20de%20Situaci%C3%B3n%20del%20Centro%20Bancario%20Internacional%20(Diciembre%202012).csv
Data Bancaria,Superintendencia de Bancos,"csv, Centro Bancario Internacional, Estados Financieros, Data Bancaria",Balances de Situación del Centro Bancario Internacional,Incluye los balances de la situación financiera del Centro Bancario Internacional para el cierre de los años entre 2010 y 2016.,Balance de Situación del Centro Bancario Internacional para 2013,"Balance de situación financiera para el Centro Bancario Internacional, a diciembre de 2013.",http://tabulario.s3.amazonaws.com/Data/Superintendencia%20de%20Bancos%20de%20Panam%C3%A1/Estad%C3%ADstica/Balance%20de%20Situaci%C3%B3n%20del%20Centro%20Bancario%20Internacional%20(Diciembre%202013).csv
Data Bancaria,Superintendencia de Bancos,"csv, Centro Bancario Internacional, Estados Financieros, Data Bancaria",Balances de Situación del Centro Bancario Internacional,Incluye los balances de la situación financiera del Centro Bancario Internacional para el cierre de los años entre 2010 y 2016.,Balance de Situación del Centro Bancario Internacional para 2014,"Balance de situación financiera para el Centro Bancario Internacional, a diciembre de 2014.",http://tabulario.s3.amazonaws.com/Data/Superintendencia%20de%20Bancos%20de%20Panam%C3%A1/Estad%C3%ADstica/Balance%20de%20Situaci%C3%B3n%20del%20Centro%20Bancario%20Internacional%20(Diciembre%202014).csv
Data Bancaria,Superintendencia de Bancos,"csv, Centro Bancario Internacional, Estados Financieros, Data Bancaria",Balances de Situación del Centro Bancario Internacional,Incluye los balances de la situación financiera del Centro Bancario Internacional para el cierre de los años entre 2010 y 2016.,Balance de Situación del Centro Bancario Internacional para 2015,"Balance de situación financiera para el Centro Bancario Internacional, a diciembre de 2015.",http://tabulario.s3.amazonaws.com/Data/Superintendencia%20de%20Bancos%20de%20Panam%C3%A1/Estad%C3%ADstica/Balance%20de%20Situaci%C3%B3n%20del%20Centro%20Bancario%20Internacional%20(Diciembre%202015).csv
Data Bancaria,Superintendencia de Bancos,"csv, Centro Bancario Internacional, Estados Financieros, Data Bancaria",Balances de Situación del Centro Bancario Internacional,Incluye los balances de la situación financiera del Centro Bancario Internacional para el cierre de los años entre 2010 y 2016.,Balance de Situación del Centro Bancario Internacional para 2016,"Balance de situación financiera para el Centro Bancario Internacional, a diciembre de 2016.",http://tabulario.s3.amazonaws.com/Data/Superintendencia%20de%20Bancos%20de%20Panam%C3%A1/Estad%C3%ADstica/Balance%20de%20Situaci%C3%B3n%20del%20Centro%20Bancario%20Internacional%20(Diciembre%202016).csv
Planilla,Ministerio de Economía y Finanzas (MEF),"csv, Viáticos, Planilla",Viáticos del MEF,Incluye listados anuales de viáticos pagados a funcionarios del Ministerio de Economía y Finanzas para 2016 y 2017.,Viáticos del MEF (Abril 2016),Viaticos del MEF para Abril 2016,http://tabulario.s3.amazonaws.com/Data/MEF/Institucionales/Vi%C3%A1ticos/Vi%C3%A1ticos%20del%20MEF%20(Abril%202016).csv
Planilla,Ministerio de Economía y Finanzas (MEF),"csv, Viáticos, Planilla",Viáticos del MEF,Incluye listados anuales de viáticos pagados a funcionarios del Ministerio de Economía y Finanzas para 2016 y 2017.,Viáticos del MEF (Agosto 2016),Viaticos del MEF para Agosto 2016,http://tabulario.s3.amazonaws.com/Data/MEF/Institucionales/Vi%C3%A1ticos/Vi%C3%A1ticos%20del%20MEF%20(Agosto%202016).csv
Planilla,Ministerio de Economía y Finanzas (MEF),"csv, Viáticos, Planilla",Viáticos del MEF,Incluye listados anuales de viáticos pagados a funcionarios del Ministerio de Economía y Finanzas para 2016 y 2017.,Viáticos del MEF (Diciembre 2016),Viaticos del MEF para Diciembre 2016,http://tabulario.s3.amazonaws.com/Data/MEF/Institucionales/Vi%C3%A1ticos/Vi%C3%A1ticos%20del%20MEF%20(Diciembre%202016).csv
Planilla,Ministerio de Economía y Finanzas (MEF),"csv, Viáticos, Planilla",Viáticos del MEF,Incluye listados anuales de viáticos pagados a funcionarios del Ministerio de Economía y Finanzas para 2016 y 2017.,Viáticos del MEF (Enero 2016),Viaticos del MEF para Enero 2016,http://tabulario.s3.amazonaws.com/Data/MEF/Institucionales/Vi%C3%A1ticos/Vi%C3%A1ticos%20del%20MEF%20(Enero%202016).csv
Planilla,Ministerio de Economía y Finanzas (MEF),"csv, Viáticos, Planilla",Viáticos del MEF,Incluye listados anuales de viáticos pagados a funcionarios del Ministerio de Economía y Finanzas para 2016 y 2017.,Viáticos del MEF (Enero 2017),Viaticos del MEF para Enero 2017,http://tabulario.s3.amazonaws.com/Data/MEF/Institucionales/Vi%C3%A1ticos/Vi%C3%A1ticos%20del%20MEF%20(Enero%202017).csv
Planilla,Ministerio de Economía y Finanzas (MEF),"csv, Viáticos, Planilla",Viáticos del MEF,Incluye listados anuales de viáticos pagados a funcionarios del Ministerio de Economía y Finanzas para 2016 y 2017.,Viáticos del MEF (Febrero 2016),Viaticos del MEF para Febrero 2016,http://tabulario.s3.amazonaws.com/Data/MEF/Institucionales/Vi%C3%A1ticos/Vi%C3%A1ticos%20del%20MEF%20(Febrero%202016).csv
Planilla,Ministerio de Economía y Finanzas (MEF),"csv, Viáticos, Planilla",Viáticos del MEF,Incluye listados anuales de viáticos pagados a funcionarios del Ministerio de Economía y Finanzas para 2016 y 2017.,Viáticos del MEF (Febrero 2017),Viaticos del MEF para Feberero 2017,http://tabulario.s3.amazonaws.com/Data/MEF/Institucionales/Vi%C3%A1ticos/Vi%C3%A1ticos%20del%20MEF%20(Febrero%202017).csv
Planilla,Ministerio de Economía y Finanzas (MEF),"csv, Viáticos, Planilla",Viáticos del MEF,Incluye listados anuales de viáticos pagados a funcionarios del Ministerio de Economía y Finanzas para 2016 y 2017.,Viáticos del MEF (Julio 2016),Viaticos del MEF para Julio 2016,http://tabulario.s3.amazonaws.com/Data/MEF/Institucionales/Vi%C3%A1ticos/Vi%C3%A1ticos%20del%20MEF%20(Julio%202016).csv
Planilla,Ministerio de Economía y Finanzas (MEF),"csv, Viáticos, Planilla",Viáticos del MEF,Incluye listados anuales de viáticos pagados a funcionarios del Ministerio de Economía y Finanzas para 2016 y 2017.,Viáticos del MEF (Junio 2016),Viaticos del MEF para Junio 2016,http://tabulario.s3.amazonaws.com/Data/MEF/Institucionales/Vi%C3%A1ticos/Vi%C3%A1ticos%20del%20MEF%20(Junio%202016).csv
Planilla,Ministerio de Economía y Finanzas (MEF),"csv, Viáticos, Planilla",Viáticos del MEF,Incluye listados anuales de viáticos pagados a funcionarios del Ministerio de Economía y Finanzas para 2016 y 2017.,Viáticos del MEF (Marzo 2016),Viaticos del MEF para Marzo 2016,http://tabulario.s3.amazonaws.com/Data/MEF/Institucionales/Vi%C3%A1ticos/Vi%C3%A1ticos%20del%20MEF%20(Marzo%202016).csv
Planilla,Ministerio de Economía y Finanzas (MEF),"csv, Viáticos, Planilla",Viáticos del MEF,Incluye listados anuales de viáticos pagados a funcionarios del Ministerio de Economía y Finanzas para 2016 y 2017.,Viáticos del MEF (Marzo 2017),Viaticos del MEF para Marzo 2017,http://tabulario.s3.amazonaws.com/Data/MEF/Institucionales/Vi%C3%A1ticos/Vi%C3%A1ticos%20del%20MEF%20(Marzo%202017).csv
Planilla,Ministerio de Economía y Finanzas (MEF),"csv, Viáticos, Planilla",Viáticos del MEF,Incluye listados anuales de viáticos pagados a funcionarios del Ministerio de Economía y Finanzas para 2016 y 2017.,Viáticos del MEF (Mayo 2016),Viaticos del MEF para Mayo 2016,http://tabulario.s3.amazonaws.com/Data/MEF/Institucionales/Vi%C3%A1ticos/Vi%C3%A1ticos%20del%20MEF%20(Mayo%202016).csv
Planilla,Ministerio de Economía y Finanzas (MEF),"csv, Viáticos, Planilla",Viáticos del MEF,Incluye listados anuales de viáticos pagados a funcionarios del Ministerio de Economía y Finanzas para 2016 y 2017.,Viáticos del MEF (Noviembre 2016),Viaticos del MEF para Noviember 2016,http://tabulario.s3.amazonaws.com/Data/MEF/Institucionales/Vi%C3%A1ticos/Vi%C3%A1ticos%20del%20MEF%20(Noviembre%202016).csv
Planilla,Ministerio de Economía y Finanzas (MEF),"csv, Viáticos, Planilla",Viáticos del MEF,Incluye listados anuales de viáticos pagados a funcionarios del Ministerio de Economía y Finanzas para 2016 y 2017.,Viáticos del MEF (Octubre 2016),Viaticos del MEF para Octubre 2016,http://tabulario.s3.amazonaws.com/Data/MEF/Institucionales/Vi%C3%A1ticos/Vi%C3%A1ticos%20del%20MEF%20(Octubre%202016).csv
Planilla,Ministerio de Economía y Finanzas (MEF),"csv, Viáticos, Planilla",Viáticos del MEF,Incluye listados anuales de viáticos pagados a funcionarios del Ministerio de Economía y Finanzas para 2016 y 2017.,Viáticos del MEF (Septiembre 2016),Viaticos del MEF para Septiembre 2016,http://tabulario.s3.amazonaws.com/Data/MEF/Institucionales/Vi%C3%A1ticos/Vi%C3%A1ticos%20del%20MEF%20(Septiembre%202016).csv
